date,title,amount
2025-04-11,Encerramento de dívida,0.00
2025-04-11,Juros de dívida encerrada,0.00
2025-04-10,Castanhaf,17.00
2025-04-09,Farma Facil,15.90
2025-04-09,R de P 3r Ltda-Mt,16.00
2025-04-08,Gallo Assai,40.00
2025-04-07,Matrix Postos de Combu,50.00
2025-04-07,Comper Mt,218.44
2025-04-07,Ancar,14.00
2025-04-06,Restaurante Trudys,61.75
2025-04-06,Uber Uber *Trip Help.U,18.83
2025-04-06,Uber* Trip,16.14
2025-04-06,Japidinho,78.68
2025-04-06,Pbadministradora,15.00
2025-04-06,Vsk Comercio de Alime,5.00
2025-04-06,Footwear Carvalho - Parcela 1/6,124.99
2025-04-06,Petz Fernando Correa - Parcela 1/4,66.27
2025-04-05,Gregory*Mercado e Dist,25.00
2025-04-05,Loja do Borracheiro,31.00
2025-04-05,Loja do Borracheiro - Parcela 1/6,84.20
2025-04-04,Bmb*Energisa - Parcela 2/5,191.33
2025-04-04,Pg *Toro Investimentos - Parcela 2/12,13.90
2025-04-04,S V Comercio de Presen - Parcela 2/3,15.99
2025-04-04,Estudacom - Parcela 2/6,29.90
2025-04-04,Pagamento recebido,-2119.80
2025-04-04,Real Presentes - Parcela 2/3,56.66
2025-04-04,Pg *Ton Wires Othon - Parcela 6/12,458.33
2025-04-04,Kabum - Parcela 1/10,215.61
2025-04-04,Aguas Cuiaba*Aguas Igu - Parcela 4/5,27.91
2025-04-04,Ricardo Esportes - Parcela 7/12,249.99
2025-04-04,Petz Fernando Correa - Parcela 2/4,80.24
2025-04-04,Loja do Borracheiro - Parcela 3/5,87.15
